"CNR_NUMBER","CASE_NUMBER","CASE_TYPE","CASETYPE_FULLFORM","CIVIL_CRIMINAL","SUB_CLASSIFICATION","COMBINED_CASE_NUMBER","COURT_NAME","COURT_NUMBER","NAME_OF_HIGH_COURT","CURRENT_STAGE","CURRENT_STATUS","DATE_FILED","DECISION_DATE","FILING_NUMBER","HEARING_COUNT","LAST_SYNC_TIME","NATURE_OF_DISPOSAL","NATURE_OF_DISPOSAL_BINARY","NJDG_JUDGE_NAME","PENDING_DAYS","POLICE_STATION","REGISTRATION_DATE","REGISTRATION_NUMBER","RESPONDENT","UNDER_ACTS","UNDER_SECTIONS","YEAR","DISPOSALTIME_ADJ","DISPOSAL_YEAR","CASE_CATEGORY","DISPOSAL_PATTERN"
"CGHC010076162007",1336,"WPT","WRIT PETITION TAX MATTER RELATED TO OTHER MATTER","WRIT",NA,"WPT-1336-2007","PRINCIPAL BENCH CHHATTISGARH",13499,"HIGH COURT OF CHHATTISGARH","MOTION HEARING MATTERS","PENDING","2007-01-01",NA,12473,14,"2021-02-26",NA,"","HONORABLE CHIEF JUSTICE",5172,NA,"2007-01-01",1336,"STATE OF CHHATTISGARH AND ORS.",NA,NA,2007,NA,NA,"WRIT CIVIL",""
"CGHC010063352007",7593,"WPT","WRIT PETITION TAX MATTER RELATED TO OTHER MATTER","WRIT",NA,"WPT-7593-2007","PRINCIPAL BENCH CHHATTISGARH",13454,"HIGH COURT OF CHHATTISGARH",NA,"DISPOSED","2007-12-11","2010-10-01",12560,0,"2021-02-26",NA,"",NA,NA,NA,"2007-12-19",7593,"STATE OF CHHATTISGARH AND ORS.","OTHER","U/A. 226 CONSTITUTION OF INDIA",2007,1026,2010,"WRIT CIVIL",""
